NUM_POZO,NOM_POZO,CVE_ACUI,NOM_ACUIF,CVE_EDO,NOM_EDO,ELEV_BROC,LATITUD,LONGITUD,PNE_1996,PNE_1997,PNE_1998,PNE_1999,PNE_2000,PNE_2001,PNE_2002,PNE_2003,PNE_2004,PNE_2005,PNE_2006,PNE_2007,PNE_2008,PNE_2009,PNE_2010,PNE_2011,PNE_2012,PNE_2013,PNE_2014,PNE_2015,PNE_2016,PNE_2017,PNE_2018,PNE_2019,PNE_2020,PNE_2021,PNE_2022,PNE_2023,PNE_2024,PNE_2025
1,VA 15,0101,VALLE DE AGUASCALIENTES,01,Aguascalientes,1983.26,22.36916667,-102.2911111,83.05,84.59,85.41,88.49,89.65,,,,,,,,,,,,,,,,,,,,,,,,,
2,VA 21,0101,VALLE DE AGUASCALIENTES,01,Aguascalientes,1939.3,22.229333,-102.2265,72.45,81.36,89.86,89.7,80.69,89,86.8,,88.6,,88.5,88.48,,107,,,,,,,,,130,130,130.6,132.18,134.06,,138.21,
3,VA 25,0101,VALLE DE AGUASCALIENTES,01,Aguascalientes,1928.06,22.2035,-102.309167,83.25,86.97,88.39,85.92,87.03,88.76,89.77,,,89.2,89.55,89.65,,,,,,,,,,,,,,,,,,
4,VA 28,0101,VALLE DE AGUASCALIENTES,01,Aguascalientes,1921.71,22.21,-102.277,78.5,,83.4,85.37,88.14,90.15,,,,92,,,,,,,,,,,,,,,,,,,,
5,VA 33,0101,VALLE DE AGUASCALIENTES,01,Aguascalientes,1882.35,22.079333,-102.275,77.33,77.97,79.85,81.24,85.96,87.75,,87.2,88.75,88.45,93.8,,,98,,,,,,108,108.92,,,,,,,,,
6,VA 34,0101,VALLE DE AGUASCALIENTES,01,Aguascalientes,1864.9,21.957,-102.3215,,,,102.15,,,,,,,,,,,,,,,,105,106.15,,,,120.45,,122.34,,,
7,VA 36,0101,VALLE DE AGUASCALIENTES,01,Aguascalientes,1903.75,22.049167,-102.2665,,106.5,,110.92,111.22,117.85,128.82,,,116.8,116.5,,,,,,,,,,,,,,,,,,,
8,VA 45,0101,VALLE DE AGUASCALIENTES,01,Aguascalientes,1899.06,21.953333,-102.284833,124.96,126.69,130.01,137.3,137.7,138.7,,,,,,139.4,,142.6,143.6,,,,,,,,,,,,,,,
9,VA 51,0101,VALLE DE AGUASCALIENTES,01,Aguascalientes,1860.87,21.919333,-102.3205,86.52,91.85,95.58,97.41,102.92,109,111.2,,106.37,,107.1,107.1,,,111.9,,,,,,,,,,,,,,,
10,VA 52,0101,VALLE DE AGUASCALIENTES,01,Aguascalientes,1860.35,21.882167,-102.339167,75.84,82.27,86.01,86.38,87.45,84.9,81.8,93.2,90.2,89.12,,,,104.66,102,,,,,,,,,,118.54,122.14,121.51,,,
11,VA 58,0101,VALLE DE AGUASCALIENTES,01,Aguascalientes,1885.02,21.7595,-102.2805,137.32,139.81,141.27,140.2,140.8,142.6,,139,139.8,,,,146,,,,,,,,,,,,,,,,,
12,VA 59,0101,VALLE DE AGUASCALIENTES,01,Aguascalientes,1881.89,21.797667,-102.283167,135.66,138.26,141.43,143.03,144.24,146.67,148.27,145.85,,,145.55,145.27,,154.03,,,,,,,,,,,,,,,,
13,VA 60,0101,VALLE DE AGUASCALIENTES,01,Aguascalientes,1866.98,21.830167,-102.3815,70.8,72.36,74.63,76.26,76.99,76.87,78.15,,81.5,81.15,,81.67,,79.26,,,,,,,,,,,,,,,,
14,VA 63,0101,VALLE DE AGUASCALIENTES,01,Aguascalientes,1848.58,21.839333,-102.325,73.68,78.59,79.93,82.6,84.56,84.6,81.85,81,79.7,78.45,78.3,78.65,78,79.2,,,,,,,,,,,,117.16,,,120.25,
15,VA 64,0101,VALLE DE AGUASCALIENTES,01,Aguascalientes,1882.65,21.809667,-102.344667,92.34,93.83,94.88,94.88,96.31,97.83,95.35,93.3,93.7,93.75,88.77,83.42,87.1,84.42,,,,,,,,,,,,,,,,
16,VA 70,0101,VALLE DE AGUASCALIENTES,01,Aguascalientes,1812.88,21.757333,-102.363167,40.95,40.67,40.77,40.16,40.35,40.8,40.32,39.8,39.45,41.1,41.1,41.42,40.59,40.55,,,,,,,,,,,,,,,,
17,VA 83,0101,VALLE DE AGUASCALIENTES,01,Aguascalientes,1945.5,22.2515,-102.311333,110.8,110.74,112.76,114.61,115.95,,,,,,118.9,118.45,,,,,,,,,,,,,,,,,,
